selected project;rowId;projectId;ownerLogin;name;language;totalCommitters;totalcommits;projectAge;windowIdx;blauGender;turnover;female;lone;tenureMedian;tenureDiversity;expertise;teamSize;stCongruence;truckFactor;centrality
https://github.com/cloudfoundry-attic/cf-docs;850714;143060;cloudfoundry;cf-docs;Shell;133;1136;17;1;0.48;1;4;0;4;8;0.2;39;0.48;3;0.6
https://github.com/liferay/liferay-portal;148770;3981;liferay;liferay-portal;Java;341;118673;7;5;0.375;1;10;0;4;4;0.2;30;0.66;3;0.9
https://github.com/cloudfoundry-attic/cf-docs;850719;143060;cloudfoundry;cf-docs;Shell;133;1136;17;6;0.289;0.706;7;0;0;4;0.4;39;0.48;4;1.1
https://github.com/chapuni/llvm-project;356513;2947549;fangism;llvm;C++;33;101;20;1;0.198;1;1;0;4;5;0.1;38;0.59;5;0.1
https://github.com/django/django;450415;1226;django;django-html-escape;Python;1100;23604;17;6;0.165;0.318;2;0;5;4;0.9;36;0.8;2;1.3
https://github.com/rspec/rspec-core;579582;46357;rspec;core;Ruby;256;4802;6;14;0.119;0.301;1;0;2;5;0.1;37;0.58;3;0.7
https://github.com/moodle/moodle;559539;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;16;0.117;0.362;1;0;4;1;0.9;41;0.62;1;0.1
https://github.com/rspec/rspec-core;579586;46357;rspec;core;Ruby;256;4802;6;18;0.105;0.227;7;0;0;6;0.8;30;0.53;1;0.9
https://github.com/django/django;450425;1226;django;django-html-escape;Python;1100;23604;17;16;0.095;0.182;2;0;3;4;0.1;40;0.47;4;0.6
https://github.com/symfony/symfony-docs;531316;10070;symfony;symfony-docs-id;Python;772;9969;8;14;0.076;0.406;2;0;1;1;0;27;0.46;3;0.9
https://github.com/torvalds/linux;806630;1088;torvalds;linux-imx6-1;C;1053;104219;14;18;0.067;0.295;3;0;3;5;0.4;43;0.51;5;1.4
https://github.com/burke/zeus;995108;2857;burke;zeus;Go;55;714;18;4;0.019;0.079;3;0;2;3;0.3;44;0.47;2;0.7
https://github.com/mozilla/openbadger;148686;19064;mozilla;OpenBadger;JavaScript;15;862;17;5;0.245;0.111;9;1;2;7;0.2;31;0.48;3;0.5
https://github.com/django/django;450418;1226;django;django-html-escape;Python;1100;23604;17;9;0.208;0.353;1;1;2;7;0.8;45;0.76;5;0.8
https://github.com/akretion/openerp-addons;15066;3085817;Akretion;openerp-addons;Python;113;2363;19;6;0.194;0.407;1;1;2;0;0.8;43;0.59;5;1.4
https://github.com/liferay/liferay-portal;148773;3981;liferay;liferay-portal;Java;341;118673;7;8;0.173;0.152;4;1;4;2;0.3;34;0.78;2;1.4
https://github.com/puppetlabs/puppet;211239;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;23;0.112;0.456;11;1;1;8;1;39;0.49;2;0.6
